line,temperature,pressure,power_consumption,yield_rate,defect_count,thickness,cycle_time
B,381.2,2.08,531.2,68.97,42,323.1,40.3
C,375.9,2.26,544.8,88.05,38,319.6,44.2
B,408.8,1.64,1230.9,87.44,32,330.9,37.0
B,284.2,2.68,557.0,76.13,162,285.3,46.4
D,324.7,2.37,795.4,92.06,63,291.6,49.0
A,377.2,2.19,203.1,94.67,39,310.6,32.2
B,362.9,3.13,630.1,83.95,38,295.6,40.5
B,353.0,2.27,433.3,70.76,45,318.5,62.5
B,331.9,2.82,832.0,93.63,57,288.1,60.9
B,356.8,2.44,479.1,91.75,46,309.9,34.1
B,355.1,2.85,580.7,74.72,45,319.2,79.2
A,294.4,2.63,230.4,85.24,107,296.5,32.6
B,356.4,2.71,192.7,90.61,50,296.6,82.6
A,334.5,2.31,1716.6,74.0,66,300.9,48.4
A,375.2,2.59,776.8,93.57,42,309.3,30.4
A,360.3,2.34,1022.6,90.35,45,311.4,105.1
C,408.7,2.0,597.9,92.76,34,309.7,43.3
B,350.0,2.09,125.3,82.12,51,293.2,80.6
C,317.3,2.29,407.7,85.9,79,292.7,97.7
C,275.3,2.58,1782.5,96.64,200,275.9,31.2
C,321.9,2.72,482.5,90.05,64,289.8,51.7
B,361.3,2.89,104.0,73.92,42,307.7,79.7
B,369.0,3.13,162.9,65.12,41,307.2,48.7
B,331.8,2.23,1593.5,88.38,62,314.8,80.1
C,337.1,3.05,1460.9,91.66,58,284.6,30.9
B,352.1,2.03,362.1,74.67,54,309.2,43.5
D,361.4,2.52,194.8,85.4,47,300.1,56.7
D,380.6,2.02,420.1,89.43,37,331.2,61.2
A,332.4,2.21,1215.6,85.85,60,320.6,64.4
A,327.7,1.93,1623.3,78.9,63,303.9,45.9
C,410.7,2.51,481.8,88.86,33,336.5,50.6
B,403.5,2.15,230.5,61.03,34,320.4,37.2
A,334.1,2.26,895.1,88.09,63,306.1,31.6
D,384.3,2.25,145.9,54.47,37,308.6,81.9
A,416.1,2.28,1779.9,92.22,32,320.1,37.2
D,389.5,2.77,982.6,92.33,34,317.1,30.4
C,327.1,2.97,107.3,84.92,74,300.9,39.3
C,353.1,2.01,245.0,77.85,49,296.3,45.9
A,297.4,2.5,178.4,92.25,100,300.7,54.9
A,321.1,2.62,402.0,85.94,71,302.8,65.8
B,349.5,2.51,407.7,80.01,53,308.1,54.6
A,356.6,3.35,817.4,89.75,44,310.1,68.4
B,329.2,2.41,303.7,95.31,68,298.1,33.8
B,267.4,1.98,355.9,93.46,200,266.9,68.0
A,355.8,2.26,206.2,76.26,48,289.2,50.1
A,371.8,2.57,204.4,71.53,40,315.5,46.4
C,373.0,2.67,779.7,88.16,41,314.7,58.7
A,343.8,2.33,457.4,89.99,60,284.4,34.1
A,345.9,2.56,501.8,84.13,48,292.2,39.8
C,357.4,3.08,150.1,92.13,46,301.8,30.9
D,362.3,3.27,921.8,81.18,42,309.2,49.0
B,347.2,3.02,390.1,65.96,53,318.2,35.3
A,280.3,2.93,1008.3,80.32,200,289.5,52.5
B,391.9,2.79,515.8,76.13,34,322.7,31.8
D,336.1,2.44,611.2,89.98,58,298.2,44.5
C,313.3,2.46,377.5,82.64,82,302.5,50.0
C,338.2,2.87,684.5,81.17,59,304.5,43.5
B,353.4,2.86,382.1,72.71,47,310.0,39.8
B,331.7,2.71,467.5,71.63,54,308.4,68.0
A,333.8,2.92,392.5,81.32,68,306.5,66.6
C,340.3,1.76,622.9,70.76,53,299.6,38.3
C,360.9,2.64,919.7,76.4,44,300.0,49.1
D,326.0,1.99,1379.7,80.36,57,292.3,47.7
A,360.1,2.4,854.8,73.06,43,296.6,44.9
A,308.6,2.49,1401.4,83.6,85,298.4,30.2
B,410.2,2.36,991.0,89.2,32,307.4,42.1
C,382.2,2.18,246.5,78.0,40,334.9,36.3
C,341.8,2.84,593.4,79.69,54,293.2,41.1
A,360.0,2.73,217.6,80.66,46,298.9,38.3
A,315.0,2.99,644.4,80.34,80,296.1,31.2
B,366.9,2.37,717.2,93.9,44,310.9,69.2
B,375.4,2.45,149.6,71.05,42,315.7,42.8
D,358.0,3.55,1359.1,89.3,50,302.0,61.2
B,377.1,2.36,740.3,87.61,38,300.0,56.8
C,349.8,1.88,1703.1,80.88,48,309.3,37.2
B,347.0,2.85,672.1,76.6,49,326.5,31.8
C,330.2,2.89,934.5,86.01,64,296.3,33.2
B,366.7,2.96,953.9,79.21,50,319.6,45.3
D,324.9,2.93,122.6,76.29,63,293.3,37.2
A,362.4,2.14,275.6,76.1,39,296.9,32.2
B,359.1,2.77,569.1,93.35,48,300.6,48.3
A,390.3,2.7,183.3,78.26,33,318.9,39.0
B,367.5,2.78,482.7,80.26,40,306.8,41.9
B,297.3,2.45,643.3,91.31,106,285.0,52.9
A,330.1,2.92,314.0,83.1,61,292.3,95.6
D,329.3,2.7,454.2,84.23,60,300.2,44.2
A,328.0,2.65,1011.3,95.23,64,295.5,57.8
C,379.0,2.31,266.8,81.92,38,304.3,33.7
D,283.9,2.83,1576.4,93.11,133,270.1,45.5
A,392.7,2.45,600.8,91.2,38,327.3,34.2
C,380.0,2.61,1111.5,76.99,36,320.2,33.4
A,355.6,2.47,146.9,81.1,46,299.0,35.1
A,360.5,2.81,177.0,65.59,41,298.3,44.4
B,352.3,2.57,1430.1,79.04,52,316.9,30.4
D,354.8,2.13,118.3,68.84,48,303.7,36.1
A,383.8,2.89,713.6,90.56,37,311.1,51.4
B,343.3,2.83,850.1,95.5,55,300.1,36.4
B,368.0,2.68,1134.2,90.04,45,309.9,30.8
D,323.9,2.6,1434.1,95.98,69,304.3,30.5
A,366.0,2.18,326.2,78.82,44,312.2,36.0
C,341.8,2.52,281.2,86.19,59,293.3,40.7
C,362.8,2.23,297.9,58.05,46,311.4,40.0
C,324.1,2.7,116.4,94.89,70,298.6,31.5
D,363.5,2.78,169.8,82.47,47,304.3,70.6
D,348.6,2.95,949.0,92.54,50,306.9,104.9
A,396.9,2.56,404.5,83.21,35,317.3,34.6
B,357.8,2.7,134.4,91.98,45,314.1,33.5
B,364.8,2.36,452.3,83.7,40,306.0,59.6
B,336.8,2.04,271.8,64.19,60,293.7,81.3
B,359.4,2.25,441.5,83.81,44,303.0,33.4
B,364.2,2.75,1708.8,83.71,42,302.7,65.6
B,339.4,2.39,828.8,80.15,54,293.2,60.0
D,337.0,1.88,2766.0,82.79,58,292.7,57.4
A,325.8,2.47,1233.4,91.55,69,301.8,31.7
D,347.7,2.37,147.9,76.86,52,296.4,46.9
B,330.4,2.43,343.6,74.67,62,287.1,33.1
C,358.8,2.67,399.8,91.44,50,312.8,42.3
D,326.3,3.33,384.1,86.22,52,305.3,48.6
B,346.3,2.05,178.1,94.81,54,313.7,48.6
B,321.6,3.09,967.3,68.27,77,289.3,40.4
B,384.3,2.54,495.2,89.7,35,311.0,36.0
B,350.7,2.95,606.4,85.11,44,313.5,57.3
D,350.5,2.67,2606.8,88.43,48,321.9,43.0
D,367.9,2.52,718.9,69.04,46,306.1,32.5
A,403.3,2.67,201.0,90.81,36,311.8,31.8
A,352.4,1.92,1563.1,96.32,52,302.9,37.3
B,305.3,2.3,189.5,63.58,101,294.9,42.1
A,385.5,2.59,384.6,78.15,36,319.2,32.6
C,309.3,1.97,716.5,73.28,90,280.6,37.1
A,335.1,2.52,412.2,72.39,60,316.7,91.6
B,385.8,2.15,122.7,93.49,37,313.9,53.1
A,339.9,2.68,492.9,90.97,61,311.7,50.8
B,332.8,2.69,136.0,71.75,57,304.8,72.3
C,358.4,3.03,444.6,80.82,51,300.3,98.7
B,350.3,2.65,288.3,77.98,50,309.3,44.7
D,329.2,2.06,1330.8,86.44,65,312.3,57.2
D,376.3,2.28,373.5,82.29,44,307.3,48.8
B,386.8,1.99,818.5,92.15,30,307.8,63.3
A,391.6,2.65,282.4,89.25,36,315.5,85.4
D,366.6,2.31,345.9,89.58,46,310.0,34.8
D,329.0,2.51,416.0,95.14,69,314.2,31.9
D,312.3,2.44,541.1,81.07,82,282.6,43.6
A,280.5,1.98,216.2,89.43,130,286.7,30.3
D,381.0,2.62,421.4,89.51,39,320.2,32.7
A,355.8,2.84,285.8,78.06,52,309.1,55.7
C,337.4,2.21,392.9,91.66,56,280.9,45.3
D,292.0,2.37,557.5,89.95,144,292.2,41.6
A,314.5,2.79,378.5,85.11,72,300.8,44.3
D,297.0,2.21,137.3,86.9,103,295.8,33.7
B,393.3,2.46,339.2,77.16,31,316.8,30.9
D,369.1,2.67,160.7,92.82,42,308.8,58.3
A,310.8,2.88,1135.6,92.64,87,291.4,33.5
D,399.1,2.56,280.4,89.09,31,323.9,50.3
A,328.3,2.2,658.3,76.15,69,293.1,53.2
C,360.5,2.61,2204.8,87.78,42,307.0,86.0
B,360.5,2.32,309.2,76.41,48,306.4,96.5
B,347.2,2.46,158.7,79.33,53,296.9,48.0
A,340.9,2.06,136.2,86.05,63,301.0,49.3
C,351.0,2.15,648.7,77.23,48,298.3,51.3
A,341.6,2.73,877.9,84.67,53,278.7,36.4
B,357.5,2.6,507.9,97.05,42,298.1,79.6
A,358.7,2.35,1192.8,90.63,44,310.8,87.9
D,334.3,2.16,360.7,96.27,61,282.6,35.9
A,383.0,2.99,256.1,70.28,33,323.1,78.2
A,324.9,2.7,102.2,63.7,58,302.7,39.3
A,361.7,3.36,834.7,86.71,43,305.7,31.3
B,339.8,2.17,935.9,85.88,59,309.4,40.9
A,323.9,1.95,288.3,71.71,66,309.1,49.9
B,341.7,2.65,1149.6,89.69,51,301.9,31.2
D,330.2,2.45,203.2,86.03,65,302.2,36.4
C,369.8,2.42,1690.8,90.47,40,306.4,50.8
B,347.2,2.06,502.5,85.38,49,301.0,43.1
A,391.1,2.51,102.0,75.67,33,327.3,50.6
C,321.5,2.26,349.7,82.05,73,297.2,62.5
A,284.1,2.11,128.1,81.71,142,285.4,64.2
C,361.8,2.26,107.1,83.63,38,298.8,34.2
A,401.7,1.9,231.0,92.99,31,319.5,64.7
B,364.7,2.88,230.8,90.62,42,281.5,43.7
B,321.7,2.46,144.5,79.66,70,304.5,33.1
D,319.3,2.45,1462.6,64.47,70,311.0,45.8
A,410.8,3.01,345.5,76.32,30,318.4,45.1
B,338.6,2.27,372.3,80.62,53,298.2,67.9
A,319.6,2.06,165.0,81.95,73,292.7,68.1
C,385.7,2.72,442.1,91.06,34,321.2,51.8
D,345.6,2.05,298.5,91.63,51,302.4,45.7
B,289.2,1.65,834.5,93.43,133,285.7,42.2
B,412.5,2.74,1528.3,87.18,28,308.0,37.0
D,367.5,2.58,473.7,83.39,45,306.1,35.1
B,304.6,2.34,645.1,90.22,91,297.5,76.1
B,391.9,2.0,624.5,73.95,33,316.2,31.7
B,318.6,2.71,539.5,93.13,76,291.2,49.3
C,316.8,2.31,705.6,86.33,65,302.8,115.2
A,323.2,2.8,712.2,93.22,69,298.6,65.9
D,408.2,2.72,1166.4,87.65,29,335.6,45.0
B,411.4,2.17,747.1,84.54,32,319.8,96.0
A,333.6,1.98,455.3,87.14,58,303.0,51.1
C,401.2,2.67,1733.9,80.19,33,333.3,36.5
B,281.4,2.64,2539.5,78.91,140,273.7,42.1
A,377.4,2.63,284.5,75.97,41,313.0,49.6
C,390.9,2.49,465.6,76.89,38,325.8,38.6
D,395.2,2.89,839.2,86.97,32,315.8,53.8
D,352.3,3.77,1294.5,96.45,47,305.6,85.2
D,367.0,3.18,750.0,67.49,38,317.1,43.7
D,328.5,2.6,1331.1,90.78,68,300.6,36.5
A,350.8,2.81,146.4,86.22,46,298.7,74.3
B,345.1,2.41,172.2,77.9,53,303.7,43.7
D,343.3,1.63,584.9,70.22,55,311.0,43.2
B,384.0,3.11,795.0,94.24,40,306.0,31.5
C,356.4,2.22,1326.9,84.19,53,307.8,53.5
C,400.8,1.97,342.6,96.44,33,314.0,30.0
B,357.4,2.93,269.5,86.33,46,292.3,48.9
D,415.7,3.46,268.7,73.26,30,325.9,51.5
B,386.8,2.7,373.9,90.2,36,315.1,48.8
B,347.4,2.41,884.0,82.68,46,306.1,34.5
D,355.2,2.92,322.0,92.22,57,297.5,48.5
B,324.8,2.64,199.3,68.96,60,302.5,62.9
A,354.8,1.98,575.3,88.51,46,309.0,48.4
B,320.5,2.09,513.5,76.25,68,304.7,36.7
D,389.9,2.3,1500.1,87.58,35,311.0,31.9
C,339.7,2.65,281.5,86.56,63,309.5,83.5
C,360.7,2.82,1277.8,92.82,44,323.4,37.2
C,281.6,2.35,169.5,81.68,200,274.2,35.0
A,342.0,2.92,530.6,82.83,52,317.4,34.8
D,338.9,3.07,231.9,76.08,69,302.8,93.6
D,377.6,2.44,963.9,91.55,41,309.9,30.7
A,365.7,1.94,485.7,74.37,45,311.1,58.0
A,380.5,2.79,124.8,77.39,37,316.6,32.3
D,363.3,3.22,689.9,69.12,44,297.7,60.5
D,386.9,2.32,861.1,76.3,34,309.8,34.9
D,362.6,3.17,216.5,58.24,48,303.4,30.5
D,308.7,2.26,1203.0,90.2,76,294.3,69.5
B,347.3,2.44,1362.9,71.35,52,301.8,34.5
C,348.8,3.0,403.1,93.71,53,290.0,30.0
B,252.0,2.4,601.1,78.24,200,272.5,48.3
A,319.5,1.95,106.7,66.6,70,295.6,35.4
C,411.3,2.78,1372.8,83.31,30,335.1,31.4
B,341.8,1.99,318.2,79.36,49,299.9,33.3
C,346.8,2.87,2078.1,73.34,48,306.1,45.2
B,284.6,2.81,312.2,90.33,121,275.6,65.0
B,309.6,3.09,417.6,89.09,77,293.1,31.7
A,364.5,2.15,1678.0,85.05,47,315.4,31.0
A,336.1,2.15,660.3,96.98,65,305.9,48.0
A,316.7,2.5,499.7,60.93,73,288.2,34.7
A,388.9,2.33,633.7,85.45,38,309.2,70.7
D,329.0,1.85,647.5,75.13,68,297.6,66.7
A,311.0,2.38,401.9,78.92,77,296.6,40.8
A,351.2,2.52,178.0,83.71,47,317.7,35.2
B,325.6,2.7,1192.5,88.63,65,303.8,104.8
C,325.5,2.58,985.6,81.71,69,302.3,83.8
A,348.2,2.42,203.2,74.95,52,315.5,35.5
C,330.7,3.13,469.2,86.02,63,295.5,55.0
C,300.0,2.36,293.9,86.98,107,290.1,72.7
A,366.8,2.25,165.0,86.19,42,309.0,63.5
A,376.0,2.42,561.4,92.46,38,321.9,44.0
D,342.5,2.73,562.1,86.82,58,303.8,45.8
D,368.6,2.31,264.3,84.76,39,317.1,37.6
C,338.9,2.71,338.7,87.88,58,311.9,45.8
A,292.7,2.72,542.4,96.74,126,281.6,31.8
B,376.9,2.24,378.2,89.74,36,303.2,35.8
B,347.0,2.31,387.3,86.67,56,296.3,31.3
A,354.5,3.25,201.8,92.06,44,321.3,70.6
B,346.8,2.55,581.0,78.06,57,291.8,46.1
C,344.6,1.46,1599.6,90.52,53,292.6,44.5
B,354.3,2.21,416.5,87.77,50,312.1,48.8
C,354.8,2.74,292.5,77.79,49,314.2,30.8
D,387.9,2.48,142.0,84.87,37,315.2,42.1
B,363.1,2.5,1703.0,92.0,43,310.3,35.6
D,385.3,2.78,539.5,60.46,36,306.9,56.2
A,395.2,2.18,127.1,89.3,35,320.7,53.0
D,301.7,2.56,498.5,66.7,94,295.0,87.4
A,388.3,2.43,1362.8,86.71,34,319.5,41.9
A,369.6,2.59,101.0,90.03,37,300.6,83.8
C,364.7,2.35,107.0,76.43,40,309.1,33.4
B,379.7,2.37,728.1,93.81,36,306.5,69.3
D,342.1,2.68,876.4,96.06,50,317.6,31.0
B,368.1,2.13,1050.0,89.72,41,316.9,72.8
A,318.3,2.26,515.3,80.37,75,297.0,35.3
B,307.6,3.14,730.7,89.54,80,296.1,44.0
B,366.0,2.71,102.3,72.87,40,313.5,88.4
B,347.9,2.85,191.2,87.74,53,295.5,42.4
C,349.9,2.52,2062.7,95.52,48,299.5,97.3
C,326.1,2.56,198.8,87.09,67,286.6,32.7
D,361.7,2.17,874.2,83.52,44,322.6,39.6
D,337.2,2.61,1801.5,88.21,56,301.6,39.4
A,348.6,2.61,102.8,80.0,50,311.2,61.9
C,335.4,2.84,551.4,85.77,60,308.8,36.4
B,325.9,2.39,183.1,81.58,74,306.3,39.7
C,343.8,2.49,2164.1,94.36,59,298.7,81.3
B,385.6,3.57,283.9,79.67,36,321.8,41.6
D,335.8,2.52,277.1,97.12,57,294.8,35.9
C,346.2,2.17,342.4,85.99,57,312.9,30.6
D,342.0,2.71,418.5,90.7,58,289.3,52.2
D,330.9,2.56,153.3,83.56,63,290.9,31.1
D,386.9,2.15,921.9,75.73,33,323.4,54.4
D,309.2,2.67,461.2,83.84,93,272.5,39.7
B,347.4,2.91,249.2,76.03,51,289.5,56.9
A,324.7,2.23,583.2,95.98,68,305.8,40.6
B,367.0,3.0,381.8,93.35,45,310.5,46.7
A,354.0,2.24,860.8,96.77,50,310.1,33.4
B,385.5,2.17,446.4,87.13,38,303.9,33.8
B,372.0,2.55,363.8,71.2,39,308.8,67.4
B,352.4,2.79,269.3,89.04,49,301.0,46.7
D,372.3,2.84,1264.1,86.28,38,323.6,41.2
D,375.1,2.63,651.1,87.55,38,317.0,56.7
A,322.6,2.05,173.2,81.72,66,303.3,60.7
B,373.2,2.15,234.9,82.11,38,307.4,32.8
B,358.9,2.37,233.6,66.51,45,305.7,48.0
B,364.7,2.72,394.0,58.71,43,305.3,72.8
C,337.8,2.34,100.9,84.07,55,316.8,63.5
B,324.4,2.89,887.7,93.79,76,290.9,34.8
B,319.0,3.26,197.0,80.58,70,306.6,48.2
D,247.8,2.13,305.9,74.13,0,267.9,53.7
D,328.7,2.52,237.7,79.73,64,295.1,57.8
A,423.2,2.73,319.1,74.05,31,328.1,36.0
C,374.7,2.83,444.4,86.37,36,308.4,50.0
B,359.6,2.59,304.3,94.08,46,319.5,47.2
A,378.8,2.45,286.9,77.58,39,310.9,34.0
A,342.2,1.87,635.8,91.12,58,305.7,38.1
B,338.2,2.34,307.1,86.88,56,301.5,64.1
B,341.3,2.74,264.3,92.9,55,297.8,30.7
A,327.9,3.04,1755.8,93.47,68,295.3,41.0
C,330.4,2.05,433.4,84.29,66,303.3,40.9
C,349.5,3.0,220.3,91.51,51,323.1,64.8
A,351.9,2.9,126.4,78.05,43,307.7,37.5
A,389.8,2.58,250.8,81.43,36,316.7,33.8
D,380.7,2.19,360.9,94.24,39,321.5,32.9
A,305.4,3.06,259.1,93.36,86,302.4,44.4
D,341.2,2.46,1107.4,71.39,58,301.2,80.5
C,316.8,2.69,844.6,81.48,73,294.4,105.4
B,271.8,2.18,863.0,74.97,195,287.4,44.3
A,352.6,1.93,246.9,84.38,51,290.8,44.7
A,367.3,2.77,158.3,87.2,46,317.4,53.1
A,352.1,2.66,260.9,85.9,45,300.1,48.0
A,363.1,2.68,239.1,91.49,43,303.7,40.9
C,340.0,2.07,1613.6,92.02,55,304.6,82.2
A,319.2,2.81,587.8,89.62,76,309.1,43.3
B,339.0,2.79,395.0,78.33,53,297.1,75.8
B,391.1,3.49,1147.6,95.13,34,326.1,82.9
A,361.2,2.4,1809.2,81.44,53,302.9,40.1
A,304.4,1.82,204.8,83.42,76,283.3,55.1
A,353.9,2.32,1655.0,88.37,48,312.4,90.1
A,388.2,2.34,238.6,91.21,34,315.5,44.6
C,372.8,2.55,436.8,81.24,44,311.1,35.3
B,388.6,2.77,2068.2,85.56,35,320.4,50.0
C,305.3,2.28,822.8,82.19,83,297.9,34.1
B,353.8,2.92,416.4,81.57,48,309.0,57.3
B,339.6,2.5,141.2,73.52,54,303.4,45.0
B,367.8,1.65,215.1,77.72,40,308.9,60.5
C,324.5,2.48,1032.6,91.5,61,303.4,46.8
A,324.0,2.25,219.4,82.19,71,299.6,45.3
A,349.9,2.55,1648.0,90.17,45,314.4,49.6
B,322.3,2.92,192.7,78.12,76,289.2,43.7
B,357.8,2.03,306.1,75.63,48,302.1,50.4
B,288.8,2.43,554.2,62.89,113,290.7,41.5
C,385.3,3.16,410.1,87.99,34,312.6,32.0
B,266.4,2.35,724.3,83.7,200,298.3,67.5
C,377.1,2.24,454.0,87.03,39,308.8,50.4
B,332.6,3.25,381.7,81.71,59,301.2,54.7
C,306.5,2.7,1057.3,73.68,89,287.3,33.2
C,355.1,3.07,890.5,95.12,50,297.9,33.7
B,376.6,2.23,612.4,75.04,37,322.8,38.3
C,384.8,2.33,335.6,92.61,36,310.3,45.3
D,383.8,2.1,1722.4,85.92,38,317.3,33.4
B,324.2,2.71,165.3,81.21,55,282.7,127.5
B,356.1,2.23,346.9,91.59,48,316.3,44.1
C,296.7,2.14,763.7,92.38,115,290.0,53.1
B,352.4,2.55,318.3,87.77,48,318.9,46.5
A,360.1,2.64,103.8,77.77,42,313.3,33.8
D,338.7,2.47,103.8,93.33,60,290.1,48.8
A,294.9,2.55,166.8,79.09,136,279.9,36.6
C,332.2,3.12,158.4,87.21,55,294.6,30.6
C,407.2,2.92,460.0,78.31,28,314.0,41.2
D,361.7,2.48,626.4,86.29,40,307.4,66.2
A,335.5,2.75,789.4,83.17,58,297.9,49.1
B,345.2,2.85,1122.8,81.06,52,294.9,75.4
B,361.5,2.63,285.2,84.68,45,310.8,30.8
B,303.5,2.2,655.2,82.77,105,284.9,97.4
A,305.1,1.76,304.1,87.87,85,300.8,41.0
B,327.9,3.23,148.4,89.18,57,299.1,50.4
B,334.7,2.52,375.6,68.51,58,303.9,33.5
A,403.8,2.69,277.6,85.98,26,329.1,30.4
C,352.1,2.15,177.4,73.01,47,312.9,33.7
C,334.5,2.41,695.3,87.38,58,309.1,40.0
C,351.7,2.18,1139.3,79.5,49,303.8,44.7
D,289.3,2.1,252.1,93.33,148,295.1,39.9
B,322.9,2.63,168.7,69.9,63,305.1,78.0
D,327.5,2.63,391.0,86.47,68,301.8,41.4
D,319.4,2.55,539.0,84.87,73,305.2,91.5
A,387.0,2.54,376.7,89.34,36,313.3,44.6
A,369.8,2.71,763.4,91.84,41,326.3,36.8
B,313.7,1.41,358.0,86.49,76,279.7,34.9
B,312.0,2.82,794.9,76.56,77,304.6,58.7
B,312.2,3.41,883.0,70.59,81,281.4,54.6
B,344.4,1.91,197.6,62.61,53,306.4,70.7
C,356.0,1.74,1962.8,85.02,49,302.1,46.8
B,362.5,1.82,418.7,73.77,43,298.3,51.9
A,319.6,2.9,323.0,89.13,73,300.9,39.1
D,344.6,2.03,1036.3,83.87,55,300.5,120.6
B,348.3,2.58,1219.7,90.99,46,305.4,72.4
D,385.9,2.7,224.3,84.92,37,309.8,41.9
A,373.2,2.43,1010.4,82.18,39,306.1,66.0
D,306.9,2.31,141.8,93.08,83,301.2,67.0
A,293.5,2.37,804.5,92.28,103,286.6,40.5
A,346.7,1.98,284.6,74.82,50,308.5,36.5
A,330.9,2.82,257.7,71.11,60,307.8,57.0
C,321.2,2.94,1321.0,96.83,70,288.4,62.9
D,327.3,2.58,197.8,66.67,70,301.2,75.1
B,367.4,2.16,181.8,92.63,41,307.2,38.9
D,304.9,2.48,793.4,87.03,83,289.9,31.1
B,405.5,2.42,1761.3,86.43,31,314.8,70.3
C,328.5,2.26,316.2,83.35,60,304.8,41.7
D,369.0,2.51,682.7,70.93,41,319.8,92.4
A,329.9,2.39,1305.6,82.81,58,296.7,44.0
B,304.5,2.95,2226.9,94.03,87,299.2,46.2
D,345.6,2.14,314.3,77.81,51,310.4,35.2
D,312.4,2.41,129.1,70.23,76,299.4,46.0
D,354.4,2.15,108.1,73.85,39,314.3,33.4
D,349.2,2.48,256.1,75.61,46,303.6,33.5
A,329.2,2.6,656.3,80.57,61,312.4,32.9
D,354.5,2.39,551.2,84.32,52,304.8,39.5
B,381.2,2.85,581.8,85.08,40,320.1,83.4
D,346.7,3.17,539.5,84.29,57,313.1,75.6
B,328.1,1.19,124.5,71.8,64,301.0,67.3
B,362.0,2.86,146.9,76.94,42,314.8,87.1
B,363.2,2.48,437.1,77.01,46,302.0,32.4
B,341.5,2.5,399.4,91.79,53,292.7,68.5
A,391.2,2.39,120.9,60.74,35,325.7,32.1
D,341.0,2.74,749.5,86.34,50,317.1,37.7
D,394.6,2.53,127.5,81.72,34,308.1,36.9
A,330.4,2.82,1106.2,88.8,64,300.2,36.5
C,375.5,2.51,150.3,84.23,40,302.6,32.5
C,343.4,2.72,687.2,74.6,57,304.2,34.9
B,358.1,2.81,149.0,91.5,52,298.2,51.8
A,289.2,2.45,243.0,89.02,141,276.9,32.5
D,415.1,2.81,1431.3,90.53,31,328.1,38.7
C,359.5,2.7,668.8,82.79,46,299.2,74.4
B,380.5,2.57,372.6,90.32,38,311.8,49.0
C,308.7,2.22,251.4,76.29,84,282.3,50.9
A,355.1,2.16,722.8,72.48,45,313.6,104.8
B,344.6,2.65,155.8,67.54,49,299.6,32.5
A,318.3,2.76,178.3,67.67,71,286.1,35.2
A,388.6,2.37,729.0,76.24,31,314.8,30.1
C,354.4,2.79,151.5,77.96,41,299.5,38.2
D,348.4,2.22,295.8,73.27,48,301.1,52.8
B,368.7,2.45,100.7,91.21,41,304.8,44.9
A,324.4,2.27,1964.3,89.01,77,284.4,46.5
C,354.8,2.24,187.5,73.57,48,307.5,43.6
D,352.7,2.18,572.0,87.73,50,299.7,39.6
C,354.0,3.87,658.3,86.32,50,292.9,36.6
D,380.8,2.95,685.1,84.73,36,325.9,47.7
B,337.3,2.69,251.1,86.43,55,300.8,34.9
C,334.1,2.34,270.6,91.33,51,304.1,36.7
A,331.6,2.05,134.2,81.06,62,289.0,33.6
B,330.3,1.89,700.2,91.84,56,304.1,67.8
B,383.1,2.44,251.7,89.77,40,310.1,84.1
B,347.9,2.87,224.2,88.25,51,299.4,69.9
D,380.7,2.08,300.4,89.13,38,304.9,36.8
D,358.1,2.73,234.3,83.96,45,298.9,31.4
A,323.8,2.58,332.9,75.38,67,290.1,36.6
A,304.8,2.56,249.4,73.44,85,292.9,45.5
B,306.4,3.56,489.1,83.26,82,304.0,36.8
A,323.3,2.61,288.1,76.89,73,305.5,36.9
C,380.6,2.59,292.7,88.63,38,303.9,37.8
D,389.0,2.27,873.1,87.92,34,326.9,42.7
D,352.8,2.24,668.8,91.8,45,300.1,53.8
C,377.8,2.06,370.8,73.69,38,311.8,86.9
D,333.4,1.97,383.7,93.07,63,296.9,50.3
B,331.2,2.4,729.9,61.99,52,300.5,31.0
A,373.1,2.71,430.7,89.56,40,312.3,41.5
B,355.0,1.75,956.9,83.95,47,306.4,46.1
B,372.0,2.45,381.4,86.51,42,321.7,35.4
C,351.5,2.18,1609.2,92.03,48,304.9,33.8
A,338.7,2.81,469.8,79.37,63,292.4,40.0
B,343.5,2.34,399.7,90.9,53,299.1,37.2
B,359.2,2.83,687.0,84.18,52,296.9,32.1
D,357.2,2.26,1172.5,89.29,49,298.2,56.6
B,322.0,2.69,143.0,86.44,66,303.4,31.2
C,346.3,2.5,206.8,87.06,57,321.3,36.2
C,304.4,2.69,425.0,72.15,108,297.0,37.6
A,339.5,2.9,256.0,84.95,53,293.6,115.8
B,322.4,3.24,573.0,90.93,66,279.5,34.9
D,258.6,2.55,1826.8,85.91,200,283.9,102.3
B,416.3,2.49,190.6,66.34,27,326.5,37.2
D,326.8,3.07,648.0,79.59,69,293.0,37.6
A,321.8,2.23,1131.3,81.5,63,303.2,47.0
A,398.7,2.69,919.5,92.85,32,310.4,38.3
D,314.8,2.26,210.2,79.19,73,293.1,31.0
D,306.5,2.44,442.0,88.28,77,282.3,33.4
D,343.8,2.21,774.0,78.74,54,302.3,53.4
C,335.2,2.77,414.7,89.78,58,309.5,40.0
D,330.8,2.41,368.8,86.05,56,304.7,35.5
D,322.5,2.01,674.7,84.31,63,293.6,31.0
D,344.3,2.0,122.6,60.68,55,306.0,69.4
B,399.1,2.55,158.1,80.33,30,304.9,31.2
B,301.7,2.93,1124.0,92.5,109,284.3,46.3
