Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
115,Gary Davis\davisga01,SG,33,MIA,76,58,18.7,0.2,0.5,0.4,0.1,0.2,0.346,0.1,0.3,0.4,0.5,0.1,0.1,0.852,0.7,1.5,2.2,2.4,0.3,0.9,3.1,1.6,0.6
116,Derrick Baker\bakerde01,SF,37,CHA,79,55,9.1,6.0,18.4,0.326,3.1,12.9,0.238,2.9,5.5,0.522,0.41,0.2,0.3,0.803,0.7,1.5,2.2,0.8,0.1,0.1,0.8,2.2,15.3
117,Gary King\kingga01,PF,20,MIL,69,0,14.4,4.6,9.9,0.465,1.6,3.9,0.411,3.0,6.0,0.506,0.545,2.2,3.4,0.658,0.2,1.9,2.1,0.8,0.5,0.2,2.9,1.8,13.0
118,Jordan Gonzalez\gonzajo01,SF,20,HOU,40,23,19.6,3.4,8.0,0.425,0.5,1.5,0.352,2.9,6.5,0.451,0.456,1.9,2.7,0.693,0.6,0.1,0.7,2.2,0.7,0.4,0.6,1.8,9.2
119,Tre Moore\mooretr01,PG,30,POR,2,0,24.6,6.8,15.8,0.43,3.6,9.5,0.375,3.2,6.3,0.513,0.544,2.3,2.8,0.809,0.1,5.5,5.6,1.2,1.5,0.3,3.0,0.8,19.5
120,Naz Williams\willina01,SG,30,PHI,28,25,15.5,3.2,6.5,0.492,1.2,2.9,0.426,2.0,3.6,0.558,0.585,8.0,10.3,0.774,0.5,3.2,3.7,2.3,0.2,0.0,1.2,2.6,15.6
121,Miles Smith\smithmi01,PF,21,SAC,65,40,31.2,3.5,6.4,0.547,0.7,2.1,0.321,2.8,4.3,0.647,0.602,1.5,1.8,0.81,0.7,8.1,8.8,0.3,0.2,0.2,0.4,1.3,9.2
122,Precious Green\greenpr01,PG,31,SAC,66,59,17.1,5.4,11.0,0.491,3.5,7.1,0.499,1.9,3.9,0.49,0.65,0.3,0.4,0.725,0.5,0.8,1.3,1.9,0.2,0.7,0.4,3.4,14.6
123,Andre Mitchell\mitchan01,SG,26,LAL,18,14,30.4,2.9,6.7,0.433,2.2,5.4,0.402,0.7,1.3,0.525,0.597,1.7,2.2,0.775,0.5,1.2,1.7,2.7,0.5,0.7,0.1,1.5,9.7
124,Ja Moore\mooreja01,SG,28,CLE,82,33,6.5,7.7,20.0,0.385,4.6,10.8,0.424,3.1,9.2,0.338,0.5,0.3,0.4,0.707,1.9,1.5,3.4,0.1,0.5,0.1,1.8,1.4,20.3
125,David Gonzalez\gonzada01,SG,30,GSW,66,59,25.1,5.8,14.4,0.403,2.1,6.9,0.308,3.7,7.5,0.498,0.476,0.1,0.1,0.678,0.5,5.9,6.4,0.4,0.5,0.1,1.2,1.4,13.8
126,Javonte Moore\mooreja01,SG,36,MIA,46,45,16.2,3.9,8.2,0.476,0.6,1.7,0.363,3.3,6.5,0.503,0.512,0.3,0.4,0.8,0.7,0.4,1.1,0.7,1.2,0.3,1.1,2.5,8.7
127,Precious Miller\millepr01,C,27,SAS,48,11,2.0,0.3,0.6,0.5,0.0,0.1,0.199,0.3,0.5,0.589,0.5,0.1,0.2,0.7,0.0,0.0,0.0,0.1,0.6,0.0,0.2,1.6,0.7
128,Mike Jones\jonesmi01,C,22,PHI,14,6,25.7,2.5,5.6,0.446,0.5,1.5,0.311,2.0,4.1,0.5,0.491,1.2,1.3,0.961,0.2,1.1,1.3,1.0,0.3,0.1,2.0,1.3,6.7
129,Quentin Walker\walkequ01,PF,33,SAC,81,6,14.0,1.8,6.3,0.286,0.9,4.7,0.2,0.9,1.6,0.573,0.357,3.4,4.1,0.823,0.9,0.4,1.3,0.8,1.2,1.3,0.4,2.1,7.9
130,Tyler Davis\davisty01,PG,25,LAL,76,37,29.1,1.4,3.3,0.424,0.7,1.5,0.443,0.7,1.8,0.406,0.53,1.7,3.0,0.551,0.7,0.7,1.4,2.0,0.1,0.4,1.1,2.5,5.2
131,Aaron Hall\hallaa01,PG,29,DEN,59,26,8.8,0.2,0.5,0.4,0.1,0.3,0.322,0.1,0.2,0.578,0.5,9.4,11.9,0.786,0.1,0.5,0.6,9.3,0.0,0.2,1.0,2.9,9.9
132,Aaron Martin\martiaa01,SG,23,TOR,22,10,18.7,5.3,9.2,0.576,0.8,2.3,0.368,4.5,6.9,0.647,0.62,7.3,8.7,0.844,0.6,7.8,8.4,4.7,2.2,0.4,1.3,2.9,18.7
133,Quentin Robinson\robinqu01,SG,34,HOU,27,3,22.5,4.0,8.5,0.471,0.5,1.5,0.364,3.5,7.0,0.501,0.5,2.3,2.4,0.961,0.6,0.3,0.9,3.2,0.2,0.0,2.0,1.8,10.8
134,Drew Baker\bakerdr01,PG,21,DAL,15,7,4.9,0.3,0.6,0.5,0.1,0.2,0.38,0.2,0.4,0.461,0.583,1.7,2.4,0.724,3.2,0.6,3.8,0.8,0.8,0.5,0.5,1.3,2.4
135,Shake Hill\hillsh01,SG,26,HOU,61,22,16.6,2.9,8.2,0.354,2.0,6.7,0.297,0.9,1.5,0.605,0.476,1.6,1.9,0.851,0.7,3.3,4.0,2.1,1.3,0.1,1.7,2.7,9.4
136,Darius Lewis\lewisda01,PG,35,HOU,26,11,24.6,0.3,0.5,0.6,0.1,0.2,0.414,0.2,0.3,0.506,0.7,0.8,1.1,0.761,0.0,1.8,1.8,0.4,0.9,0.2,1.6,1.7,1.5
137,Tyler Thomas\thomaty01,SG,28,MIN,14,10,12.0,8.6,15.9,0.541,2.4,5.9,0.406,6.2,10.0,0.625,0.616,7.3,12.0,0.609,1.3,0.2,1.5,2.9,0.1,1.0,0.9,1.1,26.9
138,Matisse Allen\allenma01,C,29,MIN,12,6,13.4,1.9,3.2,0.594,0.3,0.6,0.462,1.6,2.6,0.611,0.641,0.8,1.3,0.578,0.0,3.2,3.2,0.1,0.2,0.1,0.5,1.4,4.9
139,Bennedict Scott\scottbe01,PG,33,DEN,77,1,27.1,3.0,6.5,0.462,0.3,1.0,0.3,2.7,5.5,0.482,0.485,1.6,2.2,0.731,2.2,0.6,2.8,0.4,2.5,0.2,0.0,1.8,7.9
140,Andre Brown\brownan01,C,31,BRK,2,0,36.0,1.5,3.0,0.5,0.3,0.8,0.426,1.2,2.2,0.564,0.55,0.6,0.7,0.852,0.7,7.5,8.2,0.1,3.0,0.3,2.8,2.7,3.9
141,Aaron Hill\hillaa01,PG,33,LAC,79,70,13.7,5.8,13.0,0.446,1.4,3.1,0.459,4.4,9.9,0.446,0.5,3.4,4.1,0.833,0.6,2.8,3.4,2.3,0.3,0.6,0.7,3.2,16.4
142,Ja Jones\jonesja01,C,28,LAL,79,23,23.8,0.2,0.5,0.4,0.1,0.2,0.328,0.1,0.3,0.299,0.5,1.7,2.0,0.863,0.4,7.3,7.7,0.2,0.7,0.1,2.9,1.8,2.2
143,Kyle Davis\davisky01,SF,26,HOU,27,4,13.7,8.6,18.9,0.455,6.0,12.9,0.464,2.6,6.0,0.441,0.614,0.4,0.6,0.735,2.7,0.3,3.0,1.4,0.6,0.2,1.2,2.3,23.6
144,Derrick Davis\davisde01,PG,38,LAC,78,0,33.4,4.3,12.0,0.358,0.9,4.2,0.212,3.4,7.8,0.438,0.396,0.6,1.1,0.557,0.8,1.4,2.2,1.2,0.1,0.6,0.5,3.1,10.1
145,Mike Brown\brownmi01,C,34,DAL,6,3,14.4,3.2,8.1,0.395,0.8,2.2,0.375,2.4,5.9,0.401,0.444,4.7,5.8,0.804,1.0,0.3,1.3,5.2,0.3,1.3,0.7,0.9,11.9
146,Gary Jones\jonesga01,PG,35,HOU,58,12,21.6,2.0,6.1,0.328,1.0,3.2,0.31,1.0,2.9,0.332,0.41,3.8,7.7,0.497,0.7,3.9,4.6,1.4,0.3,0.6,0.4,1.2,8.8
147,Walker Clark\clarkwa01,PG,32,BOS,58,19,30.4,0.3,0.7,0.429,0.1,0.3,0.248,0.2,0.4,0.507,0.5,3.7,4.4,0.836,0.1,2.7,2.8,1.6,0.3,0.1,0.6,2.0,4.4
148,Aaron Wright\wrighaa01,SG,25,DEN,56,43,10.0,0.5,0.9,0.556,0.1,0.2,0.344,0.4,0.7,0.569,0.611,3.4,3.6,0.95,0.8,0.7,1.5,2.7,0.2,0.1,0.1,1.3,4.5
149,Herb Davis\davishe01,SG,30,SAS,57,50,24.7,3.6,6.4,0.562,1.0,2.1,0.471,2.6,4.3,0.602,0.641,1.2,1.4,0.83,1.8,4.7,6.5,1.8,0.1,0.9,0.2,2.2,9.4
150,Trey Jackson\jackstr01,PG,20,MIA,15,3,17.1,5.9,13.5,0.437,3.0,7.6,0.398,2.9,5.9,0.497,0.548,2.5,3.7,0.682,0.5,1.6,2.1,3.5,0.1,1.0,1.5,1.3,17.3
151,Marcus White\whitema01,SF,28,CLE,51,9,4.1,5.4,13.4,0.403,0.2,0.6,0.379,5.2,12.8,0.409,0.41,1.3,1.7,0.775,5.0,0.7,5.7,2.3,0.7,0.8,0.9,1.7,12.3
152,Nic Perez\perezni01,C,28,NYK,47,13,14.1,5.4,12.7,0.425,2.0,6.8,0.289,3.4,5.9,0.573,0.504,0.6,0.8,0.79,1.1,1.2,2.3,1.1,0.8,0.8,1.2,2.1,13.4
153,Bennedict Hall\hallbe01,PG,25,LAL,70,67,19.5,0.7,1.8,0.389,0.4,1.1,0.321,0.3,0.7,0.493,0.5,2.3,2.9,0.8,2.8,6.4,9.2,1.2,0.1,0.4,2.0,3.1,4.1
154,Tre Hall\halltr01,PF,31,CHA,3,0,14.6,2.2,5.5,0.4,0.6,1.9,0.318,1.6,3.6,0.456,0.455,4.4,5.4,0.814,0.9,2.6,3.5,0.6,0.6,0.3,2.3,1.8,9.4
155,Luke Mitchell\mitchlu01,SG,32,PHI,3,2,27.4,7.7,20.0,0.385,4.2,13.3,0.317,3.5,6.7,0.516,0.49,3.2,4.1,0.788,0.1,0.5,0.6,1.2,0.5,0.5,0.9,2.3,22.8
156,Nic Lee\leeni01,PF,31,HOU,58,54,16.3,4.7,10.8,0.435,2.0,5.8,0.349,2.7,5.0,0.533,0.528,0.4,0.5,0.822,0.6,4.2,4.8,0.7,0.3,0.1,1.4,1.7,11.8
157,Precious Davis\davispr01,SG,31,MIN,6,2,21.3,0.7,1.9,0.368,0.4,1.2,0.31,0.3,0.7,0.442,0.474,1.6,2.0,0.778,5.0,0.4,5.4,1.3,0.9,0.1,0.1,3.1,3.4
158,Javonte Clark\clarkja01,SG,28,TOR,2,0,23.8,1.7,4.3,0.395,1.3,3.6,0.365,0.4,0.7,0.503,0.547,6.6,10.6,0.625,0.2,0.8,1.0,4.3,0.2,0.4,0.2,1.5,11.3
159,David Walker\walkeda01,PF,34,MIN,4,3,36.0,3.0,9.8,0.306,1.2,5.4,0.214,1.8,4.4,0.42,0.367,0.9,1.4,0.62,0.3,0.3,0.6,1.9,0.8,0.7,0.8,2.3,8.1
160,Walker Gonzalez\gonzawa01,C,34,MIA,51,8,25.6,1.4,3.5,0.4,0.8,2.3,0.363,0.6,1.2,0.465,0.514,4.8,5.9,0.822,0.2,1.5,1.7,1.4,0.2,2.1,1.1,2.3,8.4
161,Precious Lewis\lewispr01,SG,37,WAS,23,16,12.7,0.9,3.7,0.243,0.7,3.2,0.23,0.2,0.5,0.397,0.338,1.2,1.3,0.901,0.2,1.2,1.4,0.8,1.7,0.1,2.7,1.3,3.7
162,Mike Wright\wrighmi01,C,32,DET,51,49,33.7,9.7,20.0,0.485,4.2,9.9,0.428,5.5,10.1,0.544,0.59,0.5,0.8,0.658,0.2,2.9,3.1,2.3,0.2,0.0,1.5,1.2,24.1
163,David Scott\scottda01,SF,34,NOP,64,23,20.9,0.7,1.5,0.467,0.2,0.6,0.402,0.5,0.9,0.58,0.533,1.6,2.1,0.741,2.3,0.2,2.5,3.4,0.5,0.7,0.8,1.8,3.2
164,Luke Scott\scottlu01,SF,36,NYK,30,2,21.9,2.1,5.1,0.412,0.4,1.8,0.225,1.7,3.3,0.528,0.451,1.2,1.9,0.643,2.4,2.3,4.7,1.5,1.1,0.1,1.4,2.3,5.8
165,David Hall\hallda01,PF,31,PHO,24,12,8.7,7.5,13.2,0.568,0.5,1.2,0.414,7.0,12.0,0.584,0.587,1.9,2.3,0.819,0.3,6.2,6.5,0.4,0.0,0.3,1.3,3.3,17.4
166,Luke Williams\willilu01,SF,38,LAC,44,32,16.8,1.1,2.7,0.407,0.6,1.4,0.427,0.5,1.3,0.394,0.519,4.5,6.1,0.731,0.1,2.5,2.6,4.1,0.1,1.0,1.7,1.2,7.3
167,Bennedict Nelson\nelsobe01,C,27,LAL,36,17,21.7,6.7,12.7,0.528,1.3,3.7,0.342,5.4,9.0,0.597,0.579,1.9,3.1,0.62,0.3,0.1,0.4,0.5,0.4,0.0,1.5,2.0,16.6
168,Trey Walker\walketr01,SF,38,POR,8,2,5.5,0.6,1.4,0.429,0.2,0.6,0.327,0.4,0.8,0.466,0.5,2.9,3.7,0.779,1.8,2.8,4.6,2.6,0.2,0.7,2.1,2.1,4.3
169,Kessler Smith\smithke01,SF,37,ATL,59,24,16.3,2.7,5.1,0.529,0.5,1.1,0.448,2.2,4.0,0.557,0.578,8.6,11.9,0.724,0.6,2.2,2.8,2.2,0.0,0.5,0.5,1.5,14.5
170,Obi Scott\scottob01,SF,31,ATL,6,4,19.7,0.3,0.5,0.6,0.1,0.2,0.401,0.2,0.3,0.507,0.7,1.0,1.4,0.75,0.1,2.4,2.5,2.9,1.1,0.1,0.3,1.8,1.7
171,Quentin Green\greenqu01,SF,28,UTA,38,9,12.8,1.1,3.3,0.333,0.5,2.2,0.215,0.6,1.1,0.53,0.409,0.2,0.2,0.827,1.4,0.6,2.0,0.3,0.2,1.1,1.2,1.3,2.9
172,Obi Jackson\jacksob01,PG,23,NYK,50,25,32.2,0.5,1.0,0.5,0.1,0.2,0.462,0.4,0.8,0.547,0.55,0.2,0.3,0.753,1.2,3.6,4.8,3.1,0.1,0.6,0.7,1.8,1.3
173,Deni Clark\clarkde01,SG,36,GSW,77,9,34.4,4.9,9.8,0.5,0.6,2.2,0.282,4.3,7.6,0.56,0.531,4.8,6.2,0.774,2.5,10.1,12.6,1.2,1.6,0.2,0.6,2.2,15.2
174,Herb Garcia\garcihe01,SF,33,OKC,50,36,7.2,2.1,3.8,0.553,1.1,2.2,0.51,1.0,1.6,0.605,0.697,0.9,1.7,0.553,1.2,1.4,2.6,0.9,1.5,0.7,2.2,2.7,6.2
175,David Williams\willida01,SF,29,LAL,58,40,2.0,2.4,6.4,0.375,0.9,2.6,0.34,1.5,3.8,0.394,0.445,1.1,1.2,0.953,1.7,0.1,1.8,0.3,0.0,0.2,1.0,1.8,6.8
176,Miles Wilson\wilsomi01,PF,21,DAL,14,2,6.9,6.8,14.6,0.466,2.0,4.8,0.422,4.8,9.8,0.49,0.534,3.9,4.4,0.881,1.3,0.4,1.7,0.6,0.6,0.1,0.4,1.8,19.5
177,Miles Walker\walkemi01,C,30,MEM,4,0,31.7,0.2,0.5,0.4,0.1,0.2,0.373,0.1,0.3,0.392,0.5,3.8,4.3,0.874,0.2,2.1,2.3,0.3,0.2,0.4,4.9,2.9,4.3
178,Marcus Moore\moorema01,SG,36,HOU,62,19,8.5,8.9,19.2,0.464,0.9,2.2,0.392,8.0,17.0,0.468,0.487,1.1,1.4,0.76,1.0,2.1,3.1,0.3,0.1,0.7,1.1,0.8,19.8
179,Darius Thomas\thomada01,PF,24,CHI,79,25,17.4,2.0,4.0,0.5,0.1,0.3,0.335,1.9,3.7,0.519,0.512,0.6,1.3,0.466,0.4,3.0,3.4,3.0,0.7,0.6,0.0,0.7,4.7
180,Tre Clark\clarktr01,PG,23,NYK,16,4,32.0,2.1,4.4,0.477,0.4,1.3,0.316,1.7,3.1,0.539,0.523,4.8,5.4,0.889,0.4,2.2,2.6,3.7,0.4,0.1,4.5,2.0,9.4
181,Herb Lewis\lewishe01,SG,38,CHI,58,44,25.8,4.5,8.3,0.542,0.8,2.5,0.326,3.7,5.8,0.643,0.59,0.3,0.4,0.813,0.2,0.3,0.5,3.4,0.9,0.3,0.7,1.4,10.1
182,Josh Allen\allenjo01,PF,31,SAS,68,2,28.3,4.4,10.1,0.436,3.3,7.9,0.412,1.1,2.2,0.52,0.599,2.6,2.9,0.913,0.4,4.2,4.6,0.2,0.0,0.3,0.3,2.7,14.7
183,Andre Thomas\thomaan01,PF,31,UTA,14,2,20.3,0.6,1.1,0.545,0.3,0.6,0.454,0.3,0.5,0.512,0.682,4.5,5.9,0.762,0.8,0.9,1.7,0.3,0.9,0.2,0.0,2.1,6.0
184,Bennedict Carter\cartebe01,C,33,PHO,23,15,36.0,2.6,7.1,0.366,0.7,3.2,0.233,1.9,3.9,0.48,0.415,5.6,6.6,0.848,1.8,1.9,3.7,2.1,0.4,1.2,1.1,1.8,11.5
185,Herb Jackson\jackshe01,PG,30,LAC,73,12,15.6,8.3,20.0,0.415,1.2,3.4,0.356,7.1,16.6,0.429,0.445,0.7,0.8,0.839,0.7,2.2,2.9,4.6,0.6,0.0,3.2,3.3,18.5
186,David Garcia\garcida01,SF,26,TOR,8,6,8.6,0.8,2.1,0.381,0.2,0.6,0.363,0.6,1.5,0.431,0.429,0.8,1.0,0.76,0.3,0.1,0.4,1.0,0.4,1.5,1.8,3.1,2.6
187,Bennedict Lopez\lopezbe01,PG,31,PHI,38,30,20.6,1.5,2.8,0.536,0.6,1.3,0.43,0.9,1.5,0.569,0.643,0.7,0.8,0.843,0.7,0.4,1.1,0.8,0.7,0.1,2.5,0.4,4.3
188,Matisse Adams\adamsma01,SG,24,DET,43,34,36.0,1.2,2.5,0.48,0.3,1.0,0.276,0.9,1.5,0.567,0.54,1.8,2.1,0.85,0.7,3.8,4.5,1.7,1.1,1.6,1.6,2.4,4.5
189,Nic Brown\brownni01,PG,24,CHA,80,50,33.9,1.1,2.6,0.423,0.7,1.8,0.372,0.4,0.8,0.561,0.558,2.1,2.4,0.857,0.7,3.2,3.9,0.9,0.1,0.0,0.5,2.8,5.0
190,Andre Nelson\nelsoan01,C,36,GSW,48,2,17.2,9.5,18.1,0.525,1.7,4.7,0.36,7.8,13.4,0.58,0.572,2.4,4.4,0.549,1.0,4.9,5.9,3.4,0.7,0.4,2.7,1.4,23.1
191,Herb Williams\willihe01,SF,29,MIA,72,69,5.0,4.8,11.3,0.425,3.4,8.5,0.395,1.4,2.8,0.517,0.575,0.5,0.7,0.738,1.4,2.1,3.5,1.1,1.3,1.0,0.5,1.6,13.5
192,Herb Perez\perezhe01,PG,25,HOU,77,9,20.1,6.4,13.5,0.474,2.2,5.6,0.396,4.2,7.9,0.528,0.556,0.4,0.5,0.765,0.0,0.5,0.5,0.2,0.3,1.0,2.8,1.7,15.4
193,Drew Nelson\nelsodr01,PF,37,BRK,34,1,24.2,3.6,11.5,0.313,2.4,8.1,0.297,1.2,3.4,0.353,0.417,1.4,1.8,0.792,1.0,6.8,7.8,0.2,0.0,0.4,4.5,1.7,11.0
194,Kevin Smith\smithke01,PF,23,NOP,19,9,25.1,2.6,4.8,0.542,0.4,0.7,0.509,2.2,4.1,0.548,0.583,0.2,0.2,0.91,0.1,1.1,1.2,0.2,0.4,0.2,0.6,3.4,5.8
195,Derrick Taylor\taylode01,C,38,BOS,47,43,18.6,0.2,0.5,0.4,0.1,0.3,0.335,0.1,0.2,0.547,0.5,1.5,2.7,0.545,1.4,4.1,5.5,2.9,3.0,0.0,4.3,2.8,2.0
196,Ja Allen\allenja01,PG,37,MIL,36,12,10.3,7.4,16.1,0.46,1.7,4.2,0.4,5.7,11.9,0.483,0.512,0.1,0.1,0.779,0.4,4.6,5.0,0.4,0.6,0.0,0.8,1.1,16.6
197,Brandon Nelson\nelsobr01,C,33,TOR,76,59,14.7,1.8,4.0,0.45,0.7,1.9,0.371,1.1,2.1,0.542,0.538,1.4,1.9,0.729,0.1,3.5,3.6,2.1,0.4,0.5,1.6,1.6,5.7
198,Quentin Scott\scottqu01,SF,33,DET,58,27,23.2,3.1,6.3,0.492,0.5,1.6,0.308,2.6,4.7,0.562,0.532,1.2,1.5,0.782,0.5,0.1,0.6,0.1,0.4,0.1,2.8,2.2,7.9
199,Javonte Harris\harrija01,SG,27,MIN,47,4,32.2,4.6,11.7,0.393,3.0,8.7,0.341,1.6,3.0,0.543,0.521,5.2,6.3,0.823,0.3,0.2,0.5,1.6,0.7,0.3,2.6,2.8,17.4
200,Deni King\kingde01,SG,37,IND,56,35,28.9,4.5,10.0,0.45,1.2,2.9,0.402,3.3,7.1,0.47,0.51,0.3,0.3,0.881,1.7,2.1,3.8,0.1,0.4,0.3,0.4,1.4,10.5
201,Kevin Clark\clarkke01,PG,38,PHI,52,50,17.3,5.4,14.0,0.386,3.2,8.2,0.389,2.2,5.8,0.374,0.5,3.0,3.5,0.858,2.6,1.0,3.6,4.9,0.3,0.1,0.1,1.6,17.0
202,Herb Baker\bakerhe01,C,30,UTA,38,26,17.6,7.9,15.8,0.5,4.7,8.8,0.538,3.2,7.0,0.46,0.649,2.3,4.3,0.546,0.2,3.0,3.2,0.2,0.1,0.0,0.3,1.9,22.8
203,James Scott\scottja01,PF,36,UTA,31,20,30.3,4.4,10.7,0.411,2.5,6.6,0.385,1.9,4.1,0.454,0.528,0.1,0.1,0.763,1.6,0.7,2.3,0.3,0.1,1.4,2.6,1.0,11.4
204,Kessler Scott\scottke01,PG,33,CLE,13,7,29.4,0.9,1.9,0.474,0.2,0.5,0.36,0.7,1.4,0.522,0.526,1.8,2.3,0.771,0.5,2.5,3.0,0.4,0.1,0.1,0.8,2.8,3.8
205,Ryan Davis\davisry01,PG,30,OKC,73,7,24.1,3.6,8.6,0.419,3.1,7.4,0.413,0.5,1.2,0.406,0.599,1.8,2.4,0.739,0.6,0.0,0.6,5.6,0.6,0.8,0.3,2.5,12.1
206,Obi Martin\martiob01,PG,29,DEN,68,27,2.0,6.1,19.5,0.313,1.4,6.2,0.23,4.7,13.3,0.35,0.349,1.1,1.5,0.721,0.0,0.3,0.3,1.8,0.0,0.3,0.4,2.2,14.7
207,Ryan Nelson\nelsory01,SG,33,BRK,4,0,6.9,1.3,3.4,0.382,1.0,2.8,0.373,0.3,0.6,0.453,0.529,1.2,1.4,0.875,0.2,0.8,1.0,0.2,0.7,0.2,0.8,2.2,4.8
208,Precious Martin\martipr01,PG,29,ORL,25,14,26.2,0.1,0.5,0.2,0.0,0.2,0.226,0.1,0.3,0.419,0.2,1.0,1.6,0.615,0.1,11.0,11.1,1.0,0.1,0.8,4.1,2.2,1.2
209,Drew Anderson\anderdr01,SG,20,LAL,4,2,29.9,10.1,20.0,0.505,1.6,5.1,0.323,8.5,14.9,0.57,0.545,3.0,3.6,0.833,0.1,0.5,0.6,2.3,0.3,0.2,0.8,1.9,24.8
210,Aaron Adams\adamsaa01,C,38,NYK,10,0,23.8,0.3,0.7,0.429,0.1,0.3,0.32,0.2,0.4,0.388,0.5,2.8,3.7,0.751,0.6,5.9,6.5,1.2,0.9,1.1,1.1,2.5,3.5
211,Kessler King\kingke01,C,21,CHI,53,23,20.6,1.0,1.9,0.526,0.0,0.1,0.283,1.0,1.8,0.541,0.526,0.0,0.0,0.718,1.9,0.6,2.5,0.2,0.3,1.8,4.6,0.7,2.0
212,Miles Clark\clarkmi01,C,26,TOR,66,49,19.5,5.1,14.6,0.349,4.3,12.6,0.341,0.8,2.0,0.411,0.497,0.5,1.0,0.496,0.0,6.3,6.3,1.2,0.4,0.5,1.0,1.8,15.0
213,Precious Moore\moorepr01,PG,35,MEM,34,11,22.9,1.4,3.3,0.424,1.2,3.0,0.389,0.2,0.3,0.549,0.606,0.3,0.4,0.786,1.3,5.9,7.2,0.4,0.4,0.1,0.4,2.8,4.3
214,Quentin Garcia\garciqu01,C,27,PHO,60,37,6.4,3.5,8.7,0.402,1.6,5.4,0.292,1.9,3.3,0.586,0.494,0.2,0.2,0.777,0.2,2.7,2.9,1.5,0.1,0.1,0.7,2.2,8.8
215,Bennedict Wright\wrighbe01,SG,22,BOS,8,2,13.2,5.9,14.3,0.413,2.8,8.5,0.331,3.1,5.8,0.542,0.51,0.3,0.3,0.937,0.4,0.6,1.0,1.1,0.4,0.3,0.9,2.5,14.9
216,Shake Wright\wrighsh01,SG,35,LAC,82,5,24.8,1.6,4.2,0.381,0.9,2.7,0.348,0.7,1.5,0.496,0.488,8.0,8.9,0.895,1.0,0.7,1.7,1.6,0.6,0.0,2.8,0.9,12.1
217,Jordan King\kingjo01,PG,38,SAC,1,0,16.9,3.8,10.5,0.362,1.0,4.4,0.238,2.8,6.1,0.459,0.41,2.5,3.4,0.722,1.6,0.6,2.2,1.0,2.2,0.2,0.4,1.8,11.1
218,Ryan Walker\walkery01,C,26,NOP,40,0,18.0,3.3,7.1,0.465,2.0,4.4,0.459,1.3,2.7,0.482,0.606,0.3,0.4,0.853,0.1,1.6,1.7,1.8,0.6,0.5,3.2,1.7,8.9
219,Ryan King\kingry01,SF,36,DEN,16,0,19.2,3.8,7.3,0.521,0.2,0.7,0.316,3.6,6.6,0.538,0.534,6.5,6.5,1.0,0.2,1.1,1.3,0.8,0.2,0.2,0.9,1.4,14.3
220,Javonte Gonzalez\gonzaja01,SG,36,CLE,21,14,22.8,8.3,16.3,0.509,1.3,3.8,0.354,7.0,12.5,0.558,0.549,1.0,2.1,0.492,2.3,1.1,3.4,1.9,0.4,0.1,1.2,0.8,18.9
221,Ja Hill\hillja01,SF,31,MIN,27,5,14.6,6.4,15.5,0.413,1.8,6.2,0.292,4.6,9.3,0.5,0.471,1.1,1.4,0.755,0.3,6.8,7.1,0.2,0.3,0.6,0.0,1.6,15.7
222,Marcus Walker\walkema01,PG,33,DEN,68,58,9.8,2.7,6.0,0.45,0.9,3.1,0.276,1.8,2.9,0.632,0.525,1.1,1.4,0.804,0.7,0.1,0.8,1.7,0.1,1.0,0.6,1.8,7.4
223,Drew Lee\leedr01,PF,29,PHO,30,23,22.3,0.5,1.3,0.385,0.2,0.6,0.364,0.3,0.7,0.376,0.462,1.0,1.1,0.947,0.1,1.2,1.3,3.4,0.2,0.1,0.8,2.9,2.2
224,Kevin Carter\carteke01,SG,24,SAC,33,24,4.0,4.7,12.0,0.392,0.8,2.0,0.379,3.9,10.0,0.387,0.425,4.8,6.7,0.716,0.1,1.4,1.5,0.0,0.2,0.2,3.4,1.1,15.0
225,Derrick Mitchell\mitchde01,SG,30,NOP,77,51,18.0,1.3,3.9,0.333,0.7,2.2,0.33,0.6,1.7,0.37,0.423,6.0,8.0,0.745,2.7,2.4,5.1,2.8,2.4,1.4,1.4,1.9,9.3
226,David Harris\harrida01,C,35,MIN,61,56,6.6,1.5,4.4,0.341,0.4,1.4,0.276,1.1,3.0,0.364,0.386,2.4,3.4,0.701,0.2,3.0,3.2,2.7,1.7,0.1,2.4,1.8,5.8
227,Kessler Thomas\thomake01,PG,20,MIL,3,1,29.2,2.7,5.9,0.458,1.4,3.4,0.42,1.3,2.5,0.52,0.576,3.8,4.5,0.842,1.2,3.9,5.1,1.9,1.2,0.3,0.6,2.2,10.6
228,Deni White\whitede01,PG,32,MIA,49,13,36.0,2.3,5.0,0.46,0.3,0.8,0.36,2.0,4.2,0.479,0.49,0.8,0.9,0.911,0.3,5.0,5.3,2.9,0.5,1.5,2.1,2.1,5.7
229,James Carter\carteja01,C,24,DAL,70,49,9.0,0.8,1.7,0.471,0.6,1.3,0.496,0.2,0.4,0.453,0.647,2.2,3.0,0.735,1.0,0.5,1.5,2.3,0.9,0.5,5.0,1.7,4.4
