cell_id,assembly_datetime,cell_type,factory,line,shift,capacity_mAh,internal_resistance_mOhm,production_temp_C,efficiency_pct,cycle_count,electrolyte_vol_mL,electrode_thickness_um,defect
CELL-004130,2023-12-02 00:10:16,NCM,Factory_C,L1,Night,3902.0,12.151,29.37,96.838,145,8.948,95.09,Normal
CELL-004131,2023-11-06 05:23:24,NCA,Factory_C,L2,Morning,3724.5,7.814,28.63,98.473,135,8.005,100.41,Normal
CELL-004132,2023-05-19 12:33:49,LFP,Factory_A,L2,Morning,3781.4,9.083,33.91,97.412,94,8.308,93.84,Normal
CELL-004133,2024-04-03 20:37:02,NCM,Factory_C,L2,Morning,3910.2,9.237,33.48,100.0,11,8.834,91.15,Normal
CELL-004134,2023-10-23 13:47:50,NCM,Factory_B,L1,Night,3525.4,39.754,24.88,89.631,61,8.818,97.19,Defective
CELL-004135,2023-01-18 20:17:44,LFP,Factory_B,L3,Night,3900.5,14.624,30.58,97.417,62,8.779,91.89,Normal
CELL-004136,2023-08-23 12:59:24,LFP,Factory_C,L1,Afternoon,3813.6,8.684,26.96,97.374,56,8.138,98.98,Normal
CELL-004137,2023-10-21 12:50:06,NCM,Factory_B,L4,Night,3286.4,46.841,31.08,87.515,22,8.63,91.78,Defective
CELL-004138,2024-08-20 12:29:22,LFP,Factory_B,L2,Night,3270.8,10.159,28.47,91.25,536,7.72,101.65,Defective
CELL-004139,2024-09-13 06:28:30,LFP,Factory_A,L2,Morning,3937.8,10.847,21.25,96.374,33,8.091,99.58,Normal
CELL-004140,2024-03-28 10:59:03,NCM,Factory_A,L4,Morning,3909.8,11.973,30.53,96.744,71,8.887,97.29,Normal
CELL-004141,2023-05-01 16:54:15,NCA,Factory_A,L4,Afternoon,4001.9,11.523,30.77,97.608,47,9.07,90.87,Normal
CELL-004142,2023-10-25 14:39:29,NCM,Factory_A,L2,Afternoon,3881.2,10.236,31.65,98.565,2,8.71,99.27,Normal
CELL-004143,2023-02-03 21:41:07,NCM,Factory_C,L1,Morning,3422.8,29.826,20.3,95.612,103,8.691,91.75,Defective
CELL-004144,2023-08-15 09:45:51,NCA,Factory_C,L4,Afternoon,3772.1,9.26,19.28,97.862,257,8.185,87.25,Normal
CELL-004145,2024-10-10 15:09:23,NCM,Factory_A,L3,Afternoon,3667.8,11.253,30.39,97.701,61,9.043,95.1,Normal
CELL-004146,2024-11-06 10:14:15,LFP,Factory_A,L3,Afternoon,3848.0,10.079,23.09,97.731,97,8.018,94.86,Normal
CELL-004147,2024-05-28 08:37:12,LFP,Factory_A,L4,Morning,3936.7,9.75,29.9,98.906,152,8.885,93.92,Normal
CELL-004148,2024-03-26 21:40:09,NCM,Factory_A,L2,Morning,3821.0,7.068,22.37,97.98,201,9.291,93.44,Normal
CELL-004149,2023-06-28 10:05:30,NCA,Factory_A,L3,Night,3864.8,10.817,23.55,98.578,243,8.379,94.26,Normal
CELL-004150,2024-10-23 04:14:53,NCM,Factory_A,L1,Afternoon,3791.4,10.425,22.16,96.988,59,8.619,92.39,Normal
CELL-004151,2023-12-08 04:59:11,NCM,Factory_A,L3,Afternoon,3699.7,8.721,26.96,96.987,70,8.689,93.19,Normal
CELL-004152,2023-03-14 11:42:08,LFP,Factory_B,L1,Night,3921.5,10.762,23.54,97.661,60,9.555,98.67,Normal
CELL-004153,2023-01-06 00:50:18,NCM,Factory_C,L2,Afternoon,3938.0,9.577,31.08,98.236,127,8.457,94.89,Normal
CELL-004154,2024-10-19 01:55:01,NCA,Factory_B,L1,Afternoon,3869.9,7.944,24.22,97.506,264,7.757,96.89,Normal
CELL-004155,2024-05-12 05:02:50,NCM,Factory_C,L1,Morning,3864.0,9.507,22.16,96.777,377,8.206,91.21,Normal
CELL-004156,2024-04-25 23:37:20,LFP,Factory_A,L4,Morning,3796.5,9.949,24.39,97.581,17,9.062,95.09,Normal
CELL-004157,2023-05-20 23:23:08,LFP,Factory_A,L3,Morning,3828.7,9.993,21.75,96.98,51,9.024,96.44,Normal
CELL-004158,2024-03-10 20:09:41,NCM,Factory_A,L4,Afternoon,3874.1,11.652,21.97,98.477,31,8.943,96.4,Normal
CELL-004159,2024-08-16 07:04:16,NCM,Factory_B,L3,Morning,3986.4,10.529,29.02,98.517,25,8.056,95.55,Normal
CELL-004160,2024-08-26 04:29:31,NCM,Factory_B,L1,Afternoon,3373.8,28.115,30.29,91.476,1,7.165,97.13,Defective
CELL-004161,2024-04-28 12:15:40,LFP,Factory_C,L1,Night,3385.9,27.529,31.0,91.717,25,7.812,95.8,Defective
CELL-004162,2024-07-04 18:38:35,LFP,Factory_A,L1,Morning,3164.5,37.797,22.98,93.068,76,9.06,95.75,Defective
CELL-004163,2024-12-21 13:34:23,LFP,Factory_B,L4,Morning,3866.8,11.377,30.82,97.247,279,8.703,91.87,Normal
CELL-004164,2024-10-03 17:45:16,NCM,Factory_C,L2,Afternoon,3835.0,13.208,20.45,97.59,106,8.27,92.83,Normal
CELL-004165,2024-06-22 09:46:18,LFP,Factory_A,L1,Morning,3879.2,8.255,22.54,97.532,48,7.986,94.81,Normal
CELL-004166,2024-11-13 22:48:24,LFP,Factory_C,L3,Night,3656.7,11.426,31.29,97.527,72,9.581,90.89,Normal
CELL-004167,2024-04-22 12:24:15,LFP,Factory_C,L4,Afternoon,3853.3,11.717,28.4,96.156,153,8.513,96.85,Normal
CELL-004168,2024-10-27 23:25:31,NCA,Factory_C,L4,Night,3949.8,9.964,25.96,98.192,1,8.817,98.37,Normal
CELL-004169,2023-11-30 12:11:30,LFP,Factory_C,L2,Afternoon,3920.4,7.21,20.99,96.59,551,9.487,93.44,Normal
CELL-004170,2023-02-09 01:31:23,LFP,Factory_A,L2,Night,3777.8,9.576,22.06,97.699,41,8.313,92.67,Normal
CELL-004171,2023-01-04 15:59:13,NCM,Factory_B,L2,Morning,3780.4,9.24,27.96,96.473,80,8.357,90.07,Normal
CELL-004172,2024-11-15 19:47:11,NCM,Factory_B,L2,Night,3736.6,7.898,31.78,97.588,41,7.615,96.53,Normal
CELL-004173,2023-05-13 14:14:27,NCM,Factory_A,L3,Afternoon,3853.4,10.354,20.49,97.396,1,8.738,89.64,Normal
CELL-004174,2023-12-31 11:28:51,NCA,Factory_B,L3,Morning,3716.9,8.659,28.77,96.967,24,8.927,99.3,Normal
CELL-004175,2023-05-04 12:43:44,NCM,Factory_A,L3,Night,3857.3,10.029,21.37,98.437,43,8.983,98.73,Normal
CELL-004176,2024-11-07 19:47:53,NCA,Factory_C,L3,Night,3829.8,12.892,22.47,97.868,51,8.136,93.81,Normal
CELL-004177,2023-03-23 01:58:05,NCM,Factory_C,L4,Morning,3752.6,10.38,23.08,95.278,14,7.831,92.79,Normal
CELL-004178,2024-11-22 10:13:31,LFP,Factory_B,L3,Night,3805.4,9.464,28.65,96.729,22,7.719,90.01,Normal
CELL-004179,2024-04-22 21:14:19,NCM,Factory_A,L4,Morning,3859.8,10.42,31.71,97.454,116,7.95,92.63,Normal
CELL-004180,2024-03-01 15:42:09,NCM,Factory_B,L4,Afternoon,3764.9,10.502,29.66,98.168,50,8.475,95.95,Normal
CELL-004181,2023-11-29 11:37:43,NCA,Factory_C,L1,Night,3785.9,9.162,26.55,96.579,78,8.356,96.49,Normal
CELL-004182,2023-03-31 07:13:42,LFP,Factory_C,L3,Afternoon,3772.0,9.302,32.4,98.244,79,8.579,99.98,Normal
CELL-004183,2024-10-30 16:13:44,NCM,Factory_B,L2,Afternoon,3840.5,10.185,21.37,97.194,29,8.71,101.29,Normal
CELL-004184,2023-09-04 10:01:24,NCM,Factory_B,L2,Morning,3772.0,9.762,30.87,97.444,97,8.962,93.64,Normal
CELL-004185,2024-09-09 17:26:26,LFP,Factory_C,L1,Night,3830.5,12.452,28.48,96.906,124,10.211,95.64,Normal
CELL-004186,2024-07-28 22:00:51,NCM,Factory_A,L2,Afternoon,3888.0,10.751,31.46,97.119,7,7.995,94.36,Normal
CELL-004187,2024-12-02 05:49:27,NCA,Factory_B,L1,Night,3931.8,7.935,28.0,97.21,64,8.349,92.91,Normal
CELL-004188,2023-11-11 08:03:07,NCM,Factory_B,L1,Morning,3852.6,10.074,21.59,96.401,261,8.761,94.91,Normal
CELL-004189,2023-07-05 23:42:02,LFP,Factory_A,L3,Morning,3821.9,10.164,31.46,97.513,2,9.442,92.69,Normal
CELL-004190,2023-10-02 15:43:16,NCM,Factory_C,L2,Morning,3852.7,8.911,20.71,97.204,211,7.724,97.01,Normal
CELL-004191,2024-12-03 02:47:09,LFP,Factory_B,L2,Morning,3928.8,8.737,29.06,98.455,25,7.845,94.22,Normal
CELL-004192,2024-11-18 21:54:35,NCA,Factory_B,L2,Morning,3872.6,9.764,25.78,98.353,75,7.625,100.05,Normal
CELL-004193,2024-06-29 12:45:07,NCM,Factory_B,L1,Night,3770.5,14.169,33.42,97.245,509,8.098,92.12,Normal
CELL-004194,2024-03-09 07:51:02,NCM,Factory_C,L4,Afternoon,3534.2,27.547,32.37,93.373,525,7.934,94.59,Defective
CELL-004195,2023-04-22 02:53:01,NCM,Factory_B,L4,Afternoon,3870.4,7.25,21.26,97.706,8,9.077,91.39,Normal
CELL-004196,2023-11-07 13:55:37,NCA,Factory_B,L4,Night,3159.6,39.051,22.53,93.919,162,8.193,89.06,Defective
CELL-004197,2023-02-01 20:52:30,NCA,Factory_B,L4,Afternoon,3816.4,8.23,21.47,96.736,34,8.45,96.67,Normal
CELL-004198,2024-01-31 19:35:54,NCM,Factory_A,L2,Morning,3846.8,10.626,22.94,99.184,9,8.656,98.31,Normal
CELL-004199,2024-11-07 01:45:25,NCA,Factory_B,L2,Afternoon,3785.4,8.294,20.49,97.022,40,8.798,92.49,Normal
CELL-004200,2023-08-07 05:46:14,LFP,Factory_B,L1,Morning,3414.2,20.992,31.6,96.303,36,8.262,91.12,Defective
CELL-004201,2023-02-24 06:43:40,LFP,Factory_B,L4,Morning,3951.7,9.668,22.33,98.401,15,9.413,99.57,Normal
CELL-004202,2023-01-10 17:39:42,NCM,Factory_C,L1,Morning,3805.8,7.52,30.29,96.661,136,7.915,99.7,Normal
CELL-004203,2023-01-23 10:08:01,NCM,Factory_C,L3,Afternoon,3374.4,34.986,31.61,93.175,269,8.154,91.07,Defective
CELL-004204,2024-07-03 22:28:20,LFP,Factory_B,L1,Afternoon,3817.3,8.884,20.81,97.568,151,8.257,95.47,Normal
CELL-004205,2023-11-18 16:40:56,NCM,Factory_A,L4,Night,3925.6,7.003,22.58,96.623,61,8.536,95.94,Normal
CELL-004206,2023-05-11 18:41:11,NCM,Factory_C,L2,Afternoon,3825.7,12.207,24.48,97.334,26,9.665,98.56,Normal
CELL-004207,2023-06-25 08:48:05,NCM,Factory_B,L1,Morning,3815.4,10.649,19.04,99.136,21,8.743,99.63,Normal
CELL-004208,2024-08-16 12:33:22,LFP,Factory_B,L2,Morning,3682.1,8.531,20.48,97.413,394,8.21,94.47,Normal
CELL-004209,2024-01-27 11:55:19,NCM,Factory_A,L4,Afternoon,3822.4,12.528,22.41,97.425,53,8.036,91.98,Normal
CELL-004210,2023-11-03 01:24:00,NCM,Factory_A,L4,Afternoon,3557.0,46.057,27.84,94.336,199,9.341,92.7,Defective
CELL-004211,2023-12-05 14:25:33,LFP,Factory_B,L2,Morning,3824.7,8.484,21.56,97.674,112,8.302,91.17,Normal
CELL-004212,2024-11-25 15:00:50,LFP,Factory_A,L3,Night,3843.7,9.783,23.0,96.798,9,8.293,95.93,Normal
CELL-004213,2024-11-15 09:52:29,NCA,Factory_A,L3,Morning,3904.3,11.378,23.95,97.104,7,9.055,97.9,Normal
CELL-004214,2024-03-01 07:59:32,NCA,Factory_A,L1,Afternoon,3875.5,11.545,23.26,98.658,129,8.798,91.89,Normal
CELL-004215,2023-08-25 08:12:43,LFP,Factory_C,L4,Afternoon,3887.9,8.422,22.26,97.154,61,8.01,90.62,Normal
CELL-004216,2023-04-07 14:19:25,NCM,Factory_C,L4,Afternoon,3882.5,11.053,30.83,97.742,2,7.628,100.31,Normal
CELL-004217,2024-02-14 21:35:16,NCA,Factory_B,L4,Morning,3762.8,10.755,20.89,97.359,3,9.859,91.33,Normal
CELL-004218,2023-09-18 02:57:10,NCA,Factory_C,L3,Afternoon,3869.4,8.914,23.4,97.384,4,8.396,95.53,Normal
CELL-004219,2024-07-28 02:06:11,NCM,Factory_A,L2,Afternoon,3865.4,9.763,24.34,96.433,258,8.479,93.44,Normal
CELL-004220,2023-11-18 20:34:50,NCM,Factory_C,L2,Night,3706.0,10.117,21.69,96.708,205,6.956,99.05,Normal
CELL-004221,2024-03-29 04:04:40,NCM,Factory_A,L3,Afternoon,3455.0,19.886,28.5,93.021,256,8.643,94.56,Defective
CELL-004222,2023-11-09 10:58:14,NCM,Factory_A,L2,Morning,3904.9,10.588,30.47,96.589,189,8.54,97.71,Normal
CELL-004223,2024-11-01 14:26:07,NCM,Factory_B,L1,Morning,3904.1,12.405,21.21,97.394,37,8.751,92.97,Normal
CELL-004224,2023-02-20 01:35:16,NCM,Factory_B,L4,Morning,3805.2,9.919,32.16,98.402,42,8.403,98.61,Normal
CELL-004225,2024-05-28 00:36:07,LFP,Factory_B,L2,Afternoon,3843.4,9.557,29.91,98.027,108,8.876,97.01,Normal
CELL-004226,2023-05-31 10:18:27,NCM,Factory_C,L1,Afternoon,3804.7,9.297,21.7,98.032,93,7.256,89.31,Normal
CELL-004227,2023-12-06 09:17:06,NCM,Factory_B,L1,Night,3761.4,11.234,32.95,97.461,302,8.071,97.36,Normal
CELL-004228,2023-01-22 09:26:14,NCM,Factory_B,L1,Morning,3781.7,10.606,31.75,97.654,413,7.826,96.79,Normal
CELL-004229,2023-10-09 15:40:18,NCM,Factory_A,L3,Night,3807.7,8.318,32.71,98.646,51,8.433,99.64,Normal
CELL-004230,2023-11-12 09:19:21,NCM,Factory_B,L1,Morning,3760.7,9.13,32.71,97.212,212,9.014,89.07,Normal
CELL-004231,2023-04-08 21:01:37,LFP,Factory_A,L3,Morning,3872.5,8.133,27.45,98.004,677,9.505,97.56,Normal
CELL-004232,2024-03-21 16:02:09,NCM,Factory_C,L1,Afternoon,3800.0,12.577,33.1,97.178,75,8.343,95.47,Normal
CELL-004233,2024-11-09 09:44:56,LFP,Factory_B,L1,Afternoon,3293.4,20.145,22.7,93.198,28,9.06,101.12,Defective
CELL-004234,2023-10-28 00:37:40,NCA,Factory_A,L1,Morning,3909.1,11.052,30.66,97.96,19,8.801,99.32,Normal
CELL-004235,2023-10-24 03:47:10,NCM,Factory_A,L1,Afternoon,3962.4,11.609,20.9,98.314,162,8.695,90.61,Normal
CELL-004236,2023-10-19 14:05:05,NCM,Factory_A,L2,Afternoon,3941.4,9.954,23.26,96.92,39,8.396,97.65,Normal
CELL-004237,2024-04-20 15:07:31,NCM,Factory_C,L1,Morning,3791.7,11.305,22.82,97.213,27,7.809,95.97,Normal
CELL-004238,2024-05-12 14:03:44,NCM,Factory_C,L2,Morning,3777.3,9.492,22.0,98.134,33,9.041,98.49,Normal
CELL-004239,2023-11-20 22:32:35,NCM,Factory_A,L1,Night,3723.4,9.459,21.19,98.112,351,8.45,94.13,Normal
CELL-004240,2023-09-07 06:42:06,LFP,Factory_B,L4,Morning,3891.3,9.333,28.16,96.753,13,8.601,97.2,Normal
CELL-004241,2024-11-06 04:09:58,NCM,Factory_C,L4,Afternoon,3866.6,10.038,30.24,97.539,87,8.206,100.55,Normal
CELL-004242,2023-11-04 22:05:45,LFP,Factory_A,L1,Afternoon,3858.8,9.419,30.18,97.72,72,8.071,94.77,Normal
CELL-004243,2023-07-02 23:56:31,NCM,Factory_A,L4,Morning,3495.4,23.992,22.31,92.764,342,8.821,93.23,Defective
CELL-004244,2023-07-01 06:27:18,NCM,Factory_C,L3,Night,3834.7,9.594,28.88,98.692,52,7.2,95.58,Normal
CELL-004245,2023-08-26 15:23:09,LFP,Factory_C,L3,Morning,3820.1,10.572,27.94,97.572,33,8.476,92.64,Normal
CELL-004246,2023-08-08 04:10:43,LFP,Factory_A,L2,Morning,3810.2,8.557,28.01,99.224,87,10.059,95.38,Normal
CELL-004247,2023-04-17 02:59:43,NCM,Factory_A,L4,Morning,3707.1,9.5,30.47,97.939,63,8.891,98.12,Normal
CELL-004248,2024-01-06 19:31:06,NCA,Factory_A,L3,Afternoon,3104.1,22.092,20.96,92.116,287,9.784,97.98,Defective
CELL-004249,2023-02-24 12:36:41,NCM,Factory_B,L4,Morning,3813.1,8.966,21.8,97.822,129,8.346,92.21,Normal
CELL-004250,2024-09-23 22:06:48,NCM,Factory_B,L2,Afternoon,3907.0,10.567,29.77,96.636,34,7.129,95.49,Normal
CELL-004251,2024-03-29 11:14:31,NCM,Factory_B,L4,Night,3723.2,9.351,29.81,96.801,238,9.088,94.37,Normal
CELL-004252,2024-01-10 21:23:46,LFP,Factory_B,L2,Morning,3999.7,11.246,30.26,98.151,32,7.707,91.46,Normal
CELL-004253,2023-03-30 06:23:04,NCM,Factory_C,L3,Afternoon,3640.9,14.223,31.08,95.246,60,7.406,97.07,Defective
CELL-004254,2024-02-25 18:21:08,LFP,Factory_C,L3,Afternoon,3897.2,7.483,30.63,97.459,171,8.847,100.21,Normal
CELL-004255,2023-07-18 03:27:50,LFP,Factory_C,L2,Morning,3856.7,11.881,20.79,99.49,26,8.134,96.45,Normal
CELL-004256,2023-02-02 06:03:30,NCA,Factory_B,L3,Morning,3899.2,9.848,22.34,97.126,84,8.41,98.08,Normal
CELL-004257,2024-02-15 01:59:30,NCM,Factory_B,L4,Night,4032.0,9.948,22.29,97.241,42,8.302,95.59,Normal
CELL-004258,2024-04-25 14:38:04,NCM,Factory_A,L3,Morning,3745.8,10.036,20.54,97.604,22,7.911,93.51,Normal
CELL-004259,2023-03-14 11:20:59,NCM,Factory_A,L4,Night,3348.7,22.742,21.61,91.462,56,7.52,95.33,Defective
CELL-004260,2023-05-23 08:52:01,NCM,Factory_B,L2,Afternoon,3860.4,8.238,27.34,98.188,63,8.2,93.53,Normal
CELL-004261,2024-11-20 16:50:30,LFP,Factory_B,L1,Morning,3627.3,10.418,23.94,98.017,105,8.644,94.56,Normal
CELL-004262,2023-01-13 13:32:57,NCM,Factory_B,L1,Morning,3418.4,25.316,31.42,92.009,50,8.798,96.94,Defective
CELL-004263,2024-11-01 03:29:13,NCM,Factory_A,L1,Night,3895.5,9.274,24.06,98.916,257,8.088,88.2,Normal
CELL-004264,2024-01-17 22:27:01,NCA,Factory_B,L1,Night,3742.4,10.289,22.41,97.639,125,8.196,95.03,Normal
CELL-004265,2024-04-01 23:45:54,LFP,Factory_C,L3,Morning,3825.0,9.952,29.34,97.9,144,9.943,94.79,Normal
CELL-004266,2023-11-11 13:14:48,NCM,Factory_B,L2,Morning,3937.3,12.925,30.65,96.839,52,8.289,97.83,Normal
CELL-004267,2024-01-21 11:41:15,NCA,Factory_C,L3,Afternoon,3743.9,8.114,20.42,97.342,395,7.216,89.59,Normal
CELL-004268,2024-07-31 03:24:14,LFP,Factory_A,L1,Night,3874.7,10.138,28.91,98.354,3,8.124,96.29,Normal
CELL-004269,2024-06-12 18:44:06,NCM,Factory_B,L1,Morning,3890.6,9.489,22.58,96.479,171,9.462,90.63,Normal
CELL-004270,2024-05-12 21:00:25,NCA,Factory_B,L1,Morning,3939.9,7.226,32.64,96.889,133,8.336,95.32,Normal
CELL-004271,2024-08-04 22:35:05,NCA,Factory_A,L4,Morning,3798.7,10.678,29.61,96.586,135,6.868,86.64,Normal
CELL-004272,2023-04-26 12:55:47,LFP,Factory_A,L4,Morning,3890.6,14.756,26.37,97.76,357,8.657,93.42,Normal
CELL-004273,2024-02-02 19:17:18,NCA,Factory_A,L4,Morning,3825.8,11.378,22.75,98.809,185,8.308,95.11,Normal
CELL-004274,2024-11-23 07:46:54,NCA,Factory_B,L1,Night,3822.4,10.335,32.58,96.892,112,7.584,93.01,Normal
CELL-004275,2023-12-22 06:09:16,NCM,Factory_B,L1,Morning,3801.0,10.624,30.67,96.929,9,7.668,94.47,Normal
CELL-004276,2023-08-08 16:55:29,LFP,Factory_B,L2,Afternoon,3873.7,9.749,28.39,95.9,55,7.664,92.56,Normal
CELL-004277,2024-03-10 21:58:10,NCM,Factory_A,L2,Afternoon,3708.2,8.679,20.38,97.83,100,8.185,94.26,Normal
CELL-004278,2024-09-24 04:24:10,NCA,Factory_B,L4,Morning,3823.4,11.639,31.39,98.09,189,8.694,90.25,Normal
CELL-004279,2024-07-02 01:22:48,NCA,Factory_C,L1,Morning,3898.9,8.323,34.03,96.839,12,8.555,92.64,Normal
CELL-004280,2024-05-02 13:47:54,NCM,Factory_B,L2,Afternoon,3898.0,10.51,32.0,96.544,137,8.054,99.26,Normal
CELL-004281,2023-11-21 13:58:28,NCM,Factory_C,L4,Afternoon,3924.3,10.551,21.22,96.59,179,8.396,96.45,Normal
CELL-004282,2023-11-04 14:33:39,NCM,Factory_B,L2,Morning,3331.8,40.575,20.78,98.404,118,9.057,97.58,Defective
CELL-004283,2024-10-21 18:59:03,NCM,Factory_A,L1,Morning,3828.0,11.546,26.56,97.477,288,10.108,102.45,Normal
CELL-004284,2024-03-03 07:03:49,LFP,Factory_C,L3,Night,3900.4,8.133,29.62,97.568,88,8.022,97.78,Normal
CELL-004285,2024-08-08 12:52:58,NCA,Factory_C,L3,Afternoon,3891.8,9.426,31.61,97.92,35,7.777,96.68,Normal
CELL-004286,2023-12-07 22:45:02,LFP,Factory_A,L4,Afternoon,3831.5,9.502,32.52,97.512,22,8.018,94.98,Normal
CELL-004287,2024-07-11 23:17:29,LFP,Factory_A,L2,Morning,3874.7,10.135,21.99,96.707,108,8.27,92.76,Normal
CELL-004288,2024-06-19 06:08:38,NCM,Factory_A,L2,Night,3737.8,10.868,23.84,96.468,28,8.646,100.0,Normal
CELL-004289,2023-07-03 02:27:27,NCM,Factory_C,L2,Morning,3887.7,11.304,20.67,97.002,4,7.631,96.19,Normal
CELL-004290,2024-02-07 07:14:54,NCM,Factory_B,L4,Night,3843.5,12.196,29.25,97.319,82,9.023,97.31,Normal
CELL-004291,2023-10-08 11:58:29,NCA,Factory_C,L1,Night,3893.4,8.939,20.88,97.307,1,10.304,97.27,Normal
CELL-004292,2024-06-16 12:05:36,NCM,Factory_B,L3,Morning,4103.4,10.417,33.91,97.975,82,9.518,89.83,Normal
CELL-004293,2023-03-05 12:07:18,LFP,Factory_A,L3,Afternoon,3864.1,9.782,31.75,98.093,84,8.566,90.26,Normal
CELL-004294,2024-11-27 17:47:45,LFP,Factory_C,L2,Morning,3907.2,12.51,30.31,97.462,34,8.399,93.08,Normal
CELL-004295,2023-06-16 00:43:02,LFP,Factory_C,L2,Morning,3873.3,11.74,29.96,97.53,134,9.208,96.53,Normal
CELL-004296,2023-08-24 07:46:02,NCA,Factory_B,L3,Night,3785.0,11.481,30.01,97.583,39,7.829,93.89,Normal
CELL-004297,2024-07-11 03:04:45,LFP,Factory_B,L3,Morning,3166.7,39.035,20.99,92.014,99,8.463,93.48,Defective
CELL-004298,2023-12-19 06:51:12,LFP,Factory_A,L3,Afternoon,3911.1,9.067,21.48,98.136,16,9.577,96.39,Normal
CELL-004299,2024-08-05 20:24:41,NCM,Factory_A,L4,Afternoon,3905.7,10.815,26.33,97.729,4,8.793,95.86,Normal
CELL-004300,2023-06-13 21:36:25,LFP,Factory_C,L3,Afternoon,3836.8,11.428,21.1,96.387,38,9.833,94.34,Normal
CELL-004301,2024-01-21 09:53:15,NCA,Factory_B,L1,Morning,3847.6,9.591,20.95,97.324,4,8.923,90.29,Normal
CELL-004302,2023-11-03 22:00:32,NCA,Factory_A,L3,Afternoon,3665.2,10.681,20.57,98.059,144,8.964,93.59,Normal
CELL-004303,2024-09-06 08:58:08,NCM,Factory_A,L4,Afternoon,3413.8,30.009,19.9,94.341,11,8.8,92.37,Defective
CELL-004304,2024-07-29 18:19:17,LFP,Factory_B,L4,Night,3833.3,7.747,20.55,98.241,472,7.815,96.1,Normal
CELL-004305,2024-08-06 08:08:45,LFP,Factory_B,L2,Night,3864.6,8.595,27.78,96.892,150,8.756,92.59,Normal
CELL-004306,2023-10-12 01:07:51,LFP,Factory_B,L2,Morning,3790.9,10.394,23.93,97.919,21,7.52,100.16,Normal
CELL-004307,2024-09-19 03:46:55,NCA,Factory_A,L4,Night,3868.0,7.569,21.1,97.636,165,8.85,89.86,Normal
CELL-004308,2023-03-18 02:59:34,NCA,Factory_A,L1,Morning,3880.6,9.958,26.61,97.249,46,8.504,101.08,Normal
CELL-004309,2024-01-29 10:46:21,LFP,Factory_C,L1,Morning,3884.2,7.913,26.22,97.288,39,7.235,92.02,Normal
CELL-004310,2024-12-30 03:34:22,NCM,Factory_C,L2,Afternoon,3780.7,11.223,29.52,96.8,33,8.878,94.45,Normal
CELL-004311,2024-10-19 05:07:05,NCM,Factory_A,L3,Afternoon,3305.8,14.391,23.03,94.375,358,8.116,97.66,Defective
CELL-004312,2024-03-17 14:05:29,LFP,Factory_B,L1,Morning,3875.5,11.668,22.5,97.418,128,8.678,93.75,Normal
CELL-004313,2023-03-07 13:32:23,LFP,Factory_C,L1,Morning,3957.0,8.171,31.89,97.427,6,8.339,94.35,Normal
CELL-004314,2024-03-25 12:55:18,NCM,Factory_B,L4,Afternoon,3895.8,11.364,20.93,96.793,383,8.659,90.92,Normal
CELL-004315,2024-04-20 12:37:14,NCM,Factory_B,L1,Morning,3767.9,9.365,21.53,98.983,65,8.48,93.18,Normal
CELL-004316,2024-01-05 17:42:12,NCA,Factory_C,L2,Afternoon,3788.8,7.692,30.44,96.848,20,9.646,96.59,Normal
CELL-004317,2024-11-04 15:08:35,NCM,Factory_B,L1,Morning,3887.5,9.43,21.33,96.495,199,7.627,95.97,Normal
CELL-004318,2024-06-19 15:55:24,NCM,Factory_B,L2,Morning,3826.9,13.012,23.42,96.795,111,8.306,94.03,Normal
CELL-004319,2023-03-07 03:31:07,LFP,Factory_B,L2,Night,3774.9,9.903,20.07,96.672,113,8.084,93.97,Normal
CELL-004320,2023-01-20 21:13:49,NCM,Factory_B,L2,Afternoon,3747.7,9.137,20.95,96.786,72,8.367,94.06,Normal
CELL-004321,2023-10-14 12:42:10,NCA,Factory_C,L2,Night,3683.7,13.494,21.41,98.312,232,8.102,91.71,Normal
CELL-004322,2023-03-12 06:00:04,NCM,Factory_B,L4,Afternoon,3899.5,11.932,22.07,97.888,89,9.562,90.89,Normal
CELL-004323,2023-11-28 14:40:37,NCM,Factory_A,L1,Night,3831.4,10.409,22.38,97.925,22,9.108,94.88,Normal
CELL-004324,2023-01-06 06:59:14,NCA,Factory_A,L2,Afternoon,3288.9,28.667,19.81,93.81,89,9.169,94.28,Defective
CELL-004325,2023-04-02 12:26:08,NCM,Factory_A,L3,Morning,3794.3,9.392,22.65,97.812,78,7.664,93.42,Normal
CELL-004326,2024-06-17 09:44:03,NCM,Factory_A,L4,Morning,3829.5,10.066,30.07,95.971,60,8.749,98.57,Normal
CELL-004327,2024-03-29 22:01:13,NCM,Factory_B,L1,Morning,3809.6,11.738,29.62,97.856,236,7.819,96.92,Normal
CELL-004328,2023-07-12 20:54:41,NCM,Factory_B,L4,Afternoon,3960.2,8.294,19.11,98.248,8,9.507,96.03,Normal
CELL-004329,2024-05-27 04:33:57,LFP,Factory_A,L3,Afternoon,3736.8,11.138,31.48,97.761,107,9.8,87.93,Normal
CELL-004330,2023-09-27 16:35:39,NCM,Factory_A,L3,Morning,3931.9,9.988,23.89,97.065,270,9.219,93.76,Normal
CELL-004331,2023-09-18 12:38:05,NCM,Factory_B,L1,Afternoon,3956.3,9.499,22.03,98.251,58,9.3,93.47,Normal
CELL-004332,2024-01-30 18:10:35,NCM,Factory_A,L3,Afternoon,3827.0,8.946,23.97,96.609,47,8.885,91.3,Normal
